"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"25/03/2026 00:00:00 - 25/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","3.00","",""
"25/03/2026 00:00:00 - 25/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","6.29","",""
"25/03/2026 00:15:00 - 25/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","2.40","",""
"25/03/2026 00:15:00 - 25/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","4.20","",""
"25/03/2026 00:30:00 - 25/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","1.78","",""
"25/03/2026 00:30:00 - 25/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","-0.80","",""
"25/03/2026 00:45:00 - 25/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","0.06","",""
"25/03/2026 00:45:00 - 25/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","-6.10","",""
"25/03/2026 01:00:00 - 25/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","1.36","",""
"25/03/2026 01:00:00 - 25/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","1.02","",""
"25/03/2026 01:15:00 - 25/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","0.10","",""
"25/03/2026 01:15:00 - 25/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","-1.10","",""
"25/03/2026 01:30:00 - 25/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","0.01","",""
"25/03/2026 01:30:00 - 25/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","-1.57","",""
"25/03/2026 01:45:00 - 25/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"25/03/2026 01:45:00 - 25/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","-1.72","",""
"25/03/2026 02:00:00 - 25/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"25/03/2026 02:00:00 - 25/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","-0.09","",""
"25/03/2026 02:15:00 - 25/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"25/03/2026 02:15:00 - 25/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","-1.72","",""
"25/03/2026 02:30:00 - 25/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","0.00","",""
"25/03/2026 02:30:00 - 25/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","-1.72","",""
"25/03/2026 02:45:00 - 25/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"25/03/2026 02:45:00 - 25/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","-1.72","",""
"25/03/2026 03:00:00 - 25/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
