"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"13/03/2026 00:00:00 - 13/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","9.43","",""
"13/03/2026 00:00:00 - 13/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","18.79","",""
"13/03/2026 00:15:00 - 13/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","8.87","",""
"13/03/2026 00:15:00 - 13/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","10.05","",""
"13/03/2026 00:30:00 - 13/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","4.28","",""
"13/03/2026 00:30:00 - 13/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","12.62","",""
"13/03/2026 00:45:00 - 13/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","2.58","",""
"13/03/2026 00:45:00 - 13/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","5.08","",""
"13/03/2026 01:00:00 - 13/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","6.70","",""
"13/03/2026 01:00:00 - 13/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","11.66","",""
"13/03/2026 01:15:00 - 13/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","3.58","",""
"13/03/2026 01:15:00 - 13/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","8.27","",""
"13/03/2026 01:30:00 - 13/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","2.55","",""
"13/03/2026 01:30:00 - 13/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","6.33","",""
"13/03/2026 01:45:00 - 13/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","3.58","",""
"13/03/2026 01:45:00 - 13/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","1.50","",""
"13/03/2026 02:00:00 - 13/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","4.67","",""
"13/03/2026 02:00:00 - 13/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","4.31","",""
"13/03/2026 02:15:00 - 13/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","2.40","",""
"13/03/2026 02:15:00 - 13/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","1.60","",""
"13/03/2026 02:30:00 - 13/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","2.32","",""
"13/03/2026 02:30:00 - 13/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","5.22","",""
"13/03/2026 02:45:00 - 13/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","2.16","",""
"13/03/2026 02:45:00 - 13/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","5.02","",""
"13/03/2026 03:00:00 - 13/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","2.33","",""
"13/03/2026 03:00:00 - 13/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","2.10","",""
"13/03/2026 03:15:00 - 13/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","1.62","",""
"13/03/2026 03:15:00 - 13/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","4.83","",""
