"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"28/03/2026 00:00:00 - 28/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","97.61","",""
"28/03/2026 00:00:00 - 28/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","98.51","",""
"28/03/2026 00:15:00 - 28/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","99.04","",""
"28/03/2026 00:15:00 - 28/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","91.22","",""
"28/03/2026 00:30:00 - 28/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","94.25","",""
"28/03/2026 00:30:00 - 28/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","86.70","",""
"28/03/2026 00:45:00 - 28/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","89.64","",""
"28/03/2026 00:45:00 - 28/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","82.50","",""
"28/03/2026 01:00:00 - 28/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","96.00","",""
"28/03/2026 01:00:00 - 28/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","92.75","",""
"28/03/2026 01:15:00 - 28/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","93.30","",""
"28/03/2026 01:15:00 - 28/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","90.51","",""
"28/03/2026 01:30:00 - 28/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","91.64","",""
"28/03/2026 01:30:00 - 28/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","83.59","",""
"28/03/2026 01:45:00 - 28/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","89.72","",""
"28/03/2026 01:45:00 - 28/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","86.75","",""
"28/03/2026 02:00:00 - 28/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","92.09","",""
"28/03/2026 02:00:00 - 28/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","81.30","",""
"28/03/2026 02:15:00 - 28/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","89.74","",""
"28/03/2026 02:15:00 - 28/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","78.70","",""
"28/03/2026 02:30:00 - 28/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","88.60","",""
"28/03/2026 02:30:00 - 28/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","78.20","",""
"28/03/2026 02:45:00 - 28/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","87.76","",""
"28/03/2026 02:45:00 - 28/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","77.10","",""
"28/03/2026 03:00:00 - 28/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","87.56","",""
"28/03/2026 03:00:00 - 28/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","79.03","",""
"28/03/2026 03:15:00 - 28/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","87.43","",""
"28/03/2026 03:15:00 - 28/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","78.82","",""
"28/03/2026 03:30:00 - 28/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","87.11","",""
"28/03/2026 03:30:00 - 28/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","78.61","",""
"28/03/2026 03:45:00 - 28/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","86.95","",""
"28/03/2026 03:45:00 - 28/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","78.40","",""
"28/03/2026 04:00:00 - 28/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","87.53","",""
"28/03/2026 04:00:00 - 28/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","82.10","",""
"28/03/2026 04:15:00 - 28/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","87.94","",""
"28/03/2026 04:15:00 - 28/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","80.80","",""
"28/03/2026 04:30:00 - 28/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","88.18","",""
"28/03/2026 04:30:00 - 28/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 2","83.50","",""
"28/03/2026 04:45:00 - 28/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 1","88.82","",""
"28/03/2026 04:45:00 - 28/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 2","86.00","",""
"28/03/2026 05:00:00 - 28/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 1","88.53","",""
"28/03/2026 05:00:00 - 28/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 2","75.01","",""
"28/03/2026 05:15:00 - 28/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 1","89.95","",""
"28/03/2026 05:15:00 - 28/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 2","79.90","",""
"28/03/2026 05:30:00 - 28/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 1","92.85","",""
"28/03/2026 05:30:00 - 28/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 2","84.04","",""
"28/03/2026 05:45:00 - 28/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 1","95.12","",""
"28/03/2026 05:45:00 - 28/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 2","90.70","",""
"28/03/2026 06:00:00 - 28/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 1","91.02","",""
"28/03/2026 06:00:00 - 28/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 2","89.74","",""
"28/03/2026 06:15:00 - 28/03/2026 06:30:00","BZN|DE-LU","Sequence Sequence 1","90.74","",""
