"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/03/2026 00:00:00 - 05/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","132.01","",""
"05/03/2026 00:00:00 - 05/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","123.20","",""
"05/03/2026 00:15:00 - 05/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","114.61","",""
"05/03/2026 00:15:00 - 05/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","119.50","",""
"05/03/2026 00:30:00 - 05/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","110.24","",""
"05/03/2026 00:30:00 - 05/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","120.53","",""
"05/03/2026 00:45:00 - 05/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","109.08","",""
"05/03/2026 00:45:00 - 05/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","126.72","",""
"05/03/2026 01:00:00 - 05/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","111.79","",""
"05/03/2026 01:00:00 - 05/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","119.70","",""
"05/03/2026 01:15:00 - 05/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","109.93","",""
"05/03/2026 01:15:00 - 05/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","116.15","",""
"05/03/2026 01:30:00 - 05/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","109.20","",""
"05/03/2026 01:30:00 - 05/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","115.67","",""
"05/03/2026 01:45:00 - 05/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","108.81","",""
"05/03/2026 01:45:00 - 05/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","116.59","",""
"05/03/2026 02:00:00 - 05/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","109.51","",""
"05/03/2026 02:00:00 - 05/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","114.90","",""
"05/03/2026 02:15:00 - 05/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","109.44","",""
"05/03/2026 02:15:00 - 05/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","113.31","",""
"05/03/2026 02:30:00 - 05/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","109.26","",""
"05/03/2026 02:30:00 - 05/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","110.50","",""
"05/03/2026 02:45:00 - 05/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","108.84","",""
"05/03/2026 02:45:00 - 05/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","114.49","",""
"05/03/2026 03:00:00 - 05/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","108.79","",""
"05/03/2026 03:00:00 - 05/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","112.26","",""
"05/03/2026 03:15:00 - 05/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","108.50","",""
"05/03/2026 03:15:00 - 05/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","113.63","",""
"05/03/2026 03:30:00 - 05/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","108.81","",""
"05/03/2026 03:30:00 - 05/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","114.99","",""
"05/03/2026 03:45:00 - 05/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","109.04","",""
"05/03/2026 03:45:00 - 05/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","113.93","",""
"05/03/2026 04:00:00 - 05/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","109.69","",""
"05/03/2026 04:00:00 - 05/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","110.30","",""
"05/03/2026 04:15:00 - 05/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","110.23","",""
"05/03/2026 04:15:00 - 05/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","111.50","",""
"05/03/2026 04:30:00 - 05/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","109.95","",""
"05/03/2026 04:30:00 - 05/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 2","115.40","",""
"05/03/2026 04:45:00 - 05/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 1","114.38","",""
"05/03/2026 04:45:00 - 05/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 2","118.10","",""
"05/03/2026 05:00:00 - 05/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 1","108.60","",""
"05/03/2026 05:00:00 - 05/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 2","119.30","",""
"05/03/2026 05:15:00 - 05/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 1","112.12","",""
"05/03/2026 05:15:00 - 05/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 2","129.47","",""
"05/03/2026 05:30:00 - 05/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 1","137.71","",""
"05/03/2026 05:30:00 - 05/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 2","120.70","",""
"05/03/2026 05:45:00 - 05/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 1","149.30","",""
"05/03/2026 05:45:00 - 05/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 2","129.98","",""
