"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"29/03/2026 00:00:00 - 29/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","125.88","",""
"29/03/2026 00:00:00 - 29/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","117.30","",""
"29/03/2026 00:15:00 - 29/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","120.23","",""
"29/03/2026 00:15:00 - 29/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","111.60","",""
"29/03/2026 00:30:00 - 29/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","108.28","",""
"29/03/2026 00:30:00 - 29/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","106.50","",""
"29/03/2026 00:45:00 - 29/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","103.85","",""
"29/03/2026 00:45:00 - 29/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","102.30","",""
"29/03/2026 01:00:00 - 29/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","112.05","",""
"29/03/2026 01:00:00 - 29/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","74.99","",""
"29/03/2026 01:15:00 - 29/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","107.51","",""
"29/03/2026 01:15:00 - 29/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","69.99","",""
"29/03/2026 01:30:00 - 29/03/2026 01:45:00 (CET)","BZN|DE-LU","Sequence Sequence 1","107.01","",""
"29/03/2026 01:30:00 - 29/03/2026 01:45:00 (CET)","BZN|DE-LU","Sequence Sequence 2","69.99","",""
"29/03/2026 01:45:00 (CET) - 29/03/2026 03:00:00 (CEST)","BZN|DE-LU","Sequence Sequence 1","104.22","",""
"29/03/2026 01:45:00 (CET) - 29/03/2026 03:00:00 (CEST)","BZN|DE-LU","Sequence Sequence 2","69.97","",""
