"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"26/03/2026 00:00:00 - 26/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","106.80","",""
"26/03/2026 00:00:00 - 26/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","91.79","",""
"26/03/2026 00:15:00 - 26/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","101.25","",""
"26/03/2026 00:15:00 - 26/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","94.91","",""
"26/03/2026 00:30:00 - 26/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","96.99","",""
"26/03/2026 00:30:00 - 26/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","74.18","",""
"26/03/2026 00:45:00 - 26/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","93.51","",""
"26/03/2026 00:45:00 - 26/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","72.25","",""
"26/03/2026 01:00:00 - 26/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","99.66","",""
"26/03/2026 01:00:00 - 26/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","79.20","",""
"26/03/2026 01:15:00 - 26/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","96.53","",""
"26/03/2026 01:15:00 - 26/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","75.60","",""
"26/03/2026 01:30:00 - 26/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","92.88","",""
"26/03/2026 01:30:00 - 26/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","79.58","",""
"26/03/2026 01:45:00 - 26/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","91.22","",""
"26/03/2026 01:45:00 - 26/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","72.90","",""
"26/03/2026 02:00:00 - 26/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","92.75","",""
"26/03/2026 02:00:00 - 26/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","82.22","",""
"26/03/2026 02:15:00 - 26/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","90.57","",""
"26/03/2026 02:15:00 - 26/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","67.60","",""
"26/03/2026 02:30:00 - 26/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","90.96","",""
"26/03/2026 02:30:00 - 26/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","67.20","",""
"26/03/2026 02:45:00 - 26/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","92.14","",""
"26/03/2026 02:45:00 - 26/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","66.10","",""
"26/03/2026 03:00:00 - 26/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","94.14","",""
"26/03/2026 03:00:00 - 26/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","73.00","",""
"26/03/2026 03:15:00 - 26/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","91.67","",""
"26/03/2026 03:15:00 - 26/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","72.20","",""
"26/03/2026 03:30:00 - 26/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","97.25","",""
"26/03/2026 03:30:00 - 26/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","67.14","",""
"26/03/2026 03:45:00 - 26/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","96.42","",""
"26/03/2026 03:45:00 - 26/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","66.53","",""
"26/03/2026 04:00:00 - 26/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","95.49","",""
"26/03/2026 04:00:00 - 26/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","68.93","",""
"26/03/2026 04:15:00 - 26/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","96.66","",""
"26/03/2026 04:15:00 - 26/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","70.80","",""
"26/03/2026 04:30:00 - 26/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","97.76","",""
