"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"17/03/2026 00:00:00 - 17/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","132.74","",""
"17/03/2026 00:00:00 - 17/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","117.23","",""
"17/03/2026 00:15:00 - 17/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","113.40","",""
"17/03/2026 00:15:00 - 17/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","111.30","",""
"17/03/2026 00:30:00 - 17/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","105.60","",""
"17/03/2026 00:30:00 - 17/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","109.80","",""
"17/03/2026 00:45:00 - 17/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","102.92","",""
"17/03/2026 00:45:00 - 17/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","109.10","",""
"17/03/2026 01:00:00 - 17/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","106.31","",""
"17/03/2026 01:00:00 - 17/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","114.97","",""
"17/03/2026 01:15:00 - 17/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","105.90","",""
"17/03/2026 01:15:00 - 17/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","109.95","",""
"17/03/2026 01:30:00 - 17/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","106.04","",""
"17/03/2026 01:30:00 - 17/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","109.96","",""
"17/03/2026 01:45:00 - 17/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","104.09","",""
"17/03/2026 01:45:00 - 17/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","109.98","",""
"17/03/2026 02:00:00 - 17/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","107.47","",""
"17/03/2026 02:00:00 - 17/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","104.30","",""
"17/03/2026 02:15:00 - 17/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","107.40","",""
"17/03/2026 02:15:00 - 17/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","101.90","",""
"17/03/2026 02:30:00 - 17/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","106.07","",""
"17/03/2026 02:30:00 - 17/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","109.90","",""
"17/03/2026 02:45:00 - 17/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","104.75","",""
"17/03/2026 02:45:00 - 17/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","109.91","",""
"17/03/2026 03:00:00 - 17/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","106.00","",""
"17/03/2026 03:00:00 - 17/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","104.40","",""
"17/03/2026 03:15:00 - 17/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","106.23","",""
"17/03/2026 03:15:00 - 17/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","102.20","",""
"17/03/2026 03:30:00 - 17/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","107.30","",""
"17/03/2026 03:30:00 - 17/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","103.90","",""
"17/03/2026 03:45:00 - 17/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","106.56","",""
"17/03/2026 03:45:00 - 17/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","107.90","",""
"17/03/2026 04:00:00 - 17/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","110.82","",""
"17/03/2026 04:00:00 - 17/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","104.95","",""
"17/03/2026 04:15:00 - 17/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","109.33","",""
"17/03/2026 04:15:00 - 17/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","109.96","",""
"17/03/2026 04:30:00 - 17/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","109.02","",""
"17/03/2026 04:30:00 - 17/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 2","114.92","",""
"17/03/2026 04:45:00 - 17/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 1","110.95","",""
"17/03/2026 04:45:00 - 17/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 2","118.56","",""
"17/03/2026 05:00:00 - 17/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 1","107.87","",""
"17/03/2026 05:00:00 - 17/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 2","110.70","",""
"17/03/2026 05:15:00 - 17/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 1","109.99","",""
"17/03/2026 05:15:00 - 17/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 2","120.30","",""
"17/03/2026 05:30:00 - 17/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 1","123.60","",""
"17/03/2026 05:30:00 - 17/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 2","131.00","",""
"17/03/2026 05:45:00 - 17/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 1","138.20","",""
"17/03/2026 05:45:00 - 17/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 2","144.40","",""
"17/03/2026 06:00:00 - 17/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 1","131.80","",""
"17/03/2026 06:00:00 - 17/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 2","130.25","",""
"17/03/2026 06:15:00 - 17/03/2026 06:30:00","BZN|DE-LU","Sequence Sequence 1","144.00","",""
"17/03/2026 06:15:00 - 17/03/2026 06:30:00","BZN|DE-LU","Sequence Sequence 2","143.93","",""
"17/03/2026 06:30:00 - 17/03/2026 06:45:00","BZN|DE-LU","Sequence Sequence 1","153.52","",""
"17/03/2026 06:30:00 - 17/03/2026 06:45:00","BZN|DE-LU","Sequence Sequence 2","151.02","",""
"17/03/2026 06:45:00 - 17/03/2026 07:00:00","BZN|DE-LU","Sequence Sequence 1","162.54","",""
"17/03/2026 06:45:00 - 17/03/2026 07:00:00","BZN|DE-LU","Sequence Sequence 2","161.41","",""
"17/03/2026 07:00:00 - 17/03/2026 07:15:00","BZN|DE-LU","Sequence Sequence 1","173.97","",""
"17/03/2026 07:00:00 - 17/03/2026 07:15:00","BZN|DE-LU","Sequence Sequence 2","163.84","",""
"17/03/2026 07:15:00 - 17/03/2026 07:30:00","BZN|DE-LU","Sequence Sequence 1","173.88","",""
"17/03/2026 07:15:00 - 17/03/2026 07:30:00","BZN|DE-LU","Sequence Sequence 2","161.52","",""
"17/03/2026 07:30:00 - 17/03/2026 07:45:00","BZN|DE-LU","Sequence Sequence 1","174.17","",""
"17/03/2026 07:30:00 - 17/03/2026 07:45:00","BZN|DE-LU","Sequence Sequence 2","158.71","",""
"17/03/2026 07:45:00 - 17/03/2026 08:00:00","BZN|DE-LU","Sequence Sequence 1","149.90","",""
"17/03/2026 07:45:00 - 17/03/2026 08:00:00","BZN|DE-LU","Sequence Sequence 2","157.27","",""
"17/03/2026 08:00:00 - 17/03/2026 08:15:00","BZN|DE-LU","Sequence Sequence 1","192.66","",""
"17/03/2026 08:00:00 - 17/03/2026 08:15:00","BZN|DE-LU","Sequence Sequence 2","160.00","",""
"17/03/2026 08:15:00 - 17/03/2026 08:30:00","BZN|DE-LU","Sequence Sequence 1","160.19","",""
"17/03/2026 08:15:00 - 17/03/2026 08:30:00","BZN|DE-LU","Sequence Sequence 2","149.59","",""
"17/03/2026 08:30:00 - 17/03/2026 08:45:00","BZN|DE-LU","Sequence Sequence 1","140.16","",""
"17/03/2026 08:30:00 - 17/03/2026 08:45:00","BZN|DE-LU","Sequence Sequence 2","140.79","",""
"17/03/2026 08:45:00 - 17/03/2026 09:00:00","BZN|DE-LU","Sequence Sequence 1","117.04","",""
"17/03/2026 08:45:00 - 17/03/2026 09:00:00","BZN|DE-LU","Sequence Sequence 2","132.00","",""
"17/03/2026 09:00:00 - 17/03/2026 09:15:00","BZN|DE-LU","Sequence Sequence 1","149.95","",""
"17/03/2026 09:00:00 - 17/03/2026 09:15:00","BZN|DE-LU","Sequence Sequence 2","141.37","",""
"17/03/2026 09:15:00 - 17/03/2026 09:30:00","BZN|DE-LU","Sequence Sequence 1","127.09","",""
"17/03/2026 09:15:00 - 17/03/2026 09:30:00","BZN|DE-LU","Sequence Sequence 2","126.10","",""
"17/03/2026 09:30:00 - 17/03/2026 09:45:00","BZN|DE-LU","Sequence Sequence 1","112.07","",""
"17/03/2026 09:30:00 - 17/03/2026 09:45:00","BZN|DE-LU","Sequence Sequence 2","115.20","",""
"17/03/2026 09:45:00 - 17/03/2026 10:00:00","BZN|DE-LU","Sequence Sequence 1","107.18","",""
"17/03/2026 09:45:00 - 17/03/2026 10:00:00","BZN|DE-LU","Sequence Sequence 2","109.97","",""
"17/03/2026 10:00:00 - 17/03/2026 10:15:00","BZN|DE-LU","Sequence Sequence 1","130.97","",""
"17/03/2026 10:00:00 - 17/03/2026 10:15:00","BZN|DE-LU","Sequence Sequence 2","124.00","",""
"17/03/2026 10:15:00 - 17/03/2026 10:30:00","BZN|DE-LU","Sequence Sequence 1","104.59","",""
"17/03/2026 10:15:00 - 17/03/2026 10:30:00","BZN|DE-LU","Sequence Sequence 2","118.12","",""
"17/03/2026 10:30:00 - 17/03/2026 10:45:00","BZN|DE-LU","Sequence Sequence 1","98.41","",""
"17/03/2026 10:30:00 - 17/03/2026 10:45:00","BZN|DE-LU","Sequence Sequence 2","112.24","",""
"17/03/2026 10:45:00 - 17/03/2026 11:00:00","BZN|DE-LU","Sequence Sequence 1","100.59","",""
"17/03/2026 10:45:00 - 17/03/2026 11:00:00","BZN|DE-LU","Sequence Sequence 2","106.36","",""
"17/03/2026 11:00:00 - 17/03/2026 11:15:00","BZN|DE-LU","Sequence Sequence 1","103.19","",""
"17/03/2026 11:00:00 - 17/03/2026 11:15:00","BZN|DE-LU","Sequence Sequence 2","107.55","",""
"17/03/2026 11:15:00 - 17/03/2026 11:30:00","BZN|DE-LU","Sequence Sequence 1","99.00","",""
"17/03/2026 11:15:00 - 17/03/2026 11:30:00","BZN|DE-LU","Sequence Sequence 2","104.21","",""
"17/03/2026 11:30:00 - 17/03/2026 11:45:00","BZN|DE-LU","Sequence Sequence 1","97.64","",""
"17/03/2026 11:30:00 - 17/03/2026 11:45:00","BZN|DE-LU","Sequence Sequence 2","99.96","",""
"17/03/2026 11:45:00 - 17/03/2026 12:00:00","BZN|DE-LU","Sequence Sequence 1","102.77","",""
"17/03/2026 11:45:00 - 17/03/2026 12:00:00","BZN|DE-LU","Sequence Sequence 2","94.97","",""
"17/03/2026 12:00:00 - 17/03/2026 12:15:00","BZN|DE-LU","Sequence Sequence 1","95.36","",""
"17/03/2026 12:00:00 - 17/03/2026 12:15:00","BZN|DE-LU","Sequence Sequence 2","95.10","",""
"17/03/2026 12:15:00 - 17/03/2026 12:30:00","BZN|DE-LU","Sequence Sequence 1","95.30","",""
"17/03/2026 12:15:00 - 17/03/2026 12:30:00","BZN|DE-LU","Sequence Sequence 2","92.56","",""
"17/03/2026 12:30:00 - 17/03/2026 12:45:00","BZN|DE-LU","Sequence Sequence 1","95.32","",""
"17/03/2026 12:30:00 - 17/03/2026 12:45:00","BZN|DE-LU","Sequence Sequence 2","89.97","",""
"17/03/2026 12:45:00 - 17/03/2026 13:00:00","BZN|DE-LU","Sequence Sequence 1","94.93","",""
"17/03/2026 12:45:00 - 17/03/2026 13:00:00","BZN|DE-LU","Sequence Sequence 2","89.97","",""
"17/03/2026 13:00:00 - 17/03/2026 13:15:00","BZN|DE-LU","Sequence Sequence 1","97.00","",""
"17/03/2026 13:00:00 - 17/03/2026 13:15:00","BZN|DE-LU","Sequence Sequence 2","93.74","",""
"17/03/2026 13:15:00 - 17/03/2026 13:30:00","BZN|DE-LU","Sequence Sequence 1","97.11","",""
"17/03/2026 13:15:00 - 17/03/2026 13:30:00","BZN|DE-LU","Sequence Sequence 2","89.55","",""
"17/03/2026 13:30:00 - 17/03/2026 13:45:00","BZN|DE-LU","Sequence Sequence 1","95.99","",""
"17/03/2026 13:30:00 - 17/03/2026 13:45:00","BZN|DE-LU","Sequence Sequence 2","98.22","",""
"17/03/2026 13:45:00 - 17/03/2026 14:00:00","BZN|DE-LU","Sequence Sequence 1","96.96","",""
"17/03/2026 13:45:00 - 17/03/2026 14:00:00","BZN|DE-LU","Sequence Sequence 2","89.70","",""
"17/03/2026 14:00:00 - 17/03/2026 14:15:00","BZN|DE-LU","Sequence Sequence 1","96.62","",""
"17/03/2026 14:00:00 - 17/03/2026 14:15:00","BZN|DE-LU","Sequence Sequence 2","89.91","",""
"17/03/2026 14:15:00 - 17/03/2026 14:30:00","BZN|DE-LU","Sequence Sequence 1","100.26","",""
"17/03/2026 14:15:00 - 17/03/2026 14:30:00","BZN|DE-LU","Sequence Sequence 2","97.20","",""
"17/03/2026 14:30:00 - 17/03/2026 14:45:00","BZN|DE-LU","Sequence Sequence 1","98.63","",""
"17/03/2026 14:30:00 - 17/03/2026 14:45:00","BZN|DE-LU","Sequence Sequence 2","102.00","",""
"17/03/2026 14:45:00 - 17/03/2026 15:00:00","BZN|DE-LU","Sequence Sequence 1","101.79","",""
"17/03/2026 14:45:00 - 17/03/2026 15:00:00","BZN|DE-LU","Sequence Sequence 2","108.01","",""
"17/03/2026 15:00:00 - 17/03/2026 15:15:00","BZN|DE-LU","Sequence Sequence 1","99.67","",""
"17/03/2026 15:00:00 - 17/03/2026 15:15:00","BZN|DE-LU","Sequence Sequence 2","104.25","",""
"17/03/2026 15:15:00 - 17/03/2026 15:30:00","BZN|DE-LU","Sequence Sequence 1","105.55","",""
"17/03/2026 15:15:00 - 17/03/2026 15:30:00","BZN|DE-LU","Sequence Sequence 2","112.58","",""
"17/03/2026 15:30:00 - 17/03/2026 15:45:00","BZN|DE-LU","Sequence Sequence 1","115.85","",""
"17/03/2026 15:30:00 - 17/03/2026 15:45:00","BZN|DE-LU","Sequence Sequence 2","119.97","",""
"17/03/2026 15:45:00 - 17/03/2026 16:00:00","BZN|DE-LU","Sequence Sequence 1","127.36","",""
"17/03/2026 15:45:00 - 17/03/2026 16:00:00","BZN|DE-LU","Sequence Sequence 2","129.92","",""
"17/03/2026 16:00:00 - 17/03/2026 16:15:00","BZN|DE-LU","Sequence Sequence 1","111.70","",""
"17/03/2026 16:00:00 - 17/03/2026 16:15:00","BZN|DE-LU","Sequence Sequence 2","115.10","",""
"17/03/2026 16:15:00 - 17/03/2026 16:30:00","BZN|DE-LU","Sequence Sequence 1","124.41","",""
"17/03/2026 16:15:00 - 17/03/2026 16:30:00","BZN|DE-LU","Sequence Sequence 2","132.63","",""
"17/03/2026 16:30:00 - 17/03/2026 16:45:00","BZN|DE-LU","Sequence Sequence 1","136.44","",""
