"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"15/03/2026 00:00:00 - 15/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","144.99","",""
"15/03/2026 00:00:00 - 15/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","133.24","",""
"15/03/2026 00:15:00 - 15/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","143.94","",""
"15/03/2026 00:15:00 - 15/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","131.02","",""
"15/03/2026 00:30:00 - 15/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","136.01","",""
"15/03/2026 00:30:00 - 15/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","128.80","",""
"15/03/2026 00:45:00 - 15/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","124.43","",""
"15/03/2026 00:45:00 - 15/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","126.58","",""
"15/03/2026 01:00:00 - 15/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","140.58","",""
"15/03/2026 01:00:00 - 15/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","129.91","",""
"15/03/2026 01:15:00 - 15/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","135.52","",""
"15/03/2026 01:15:00 - 15/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","127.10","",""
"15/03/2026 01:30:00 - 15/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","132.83","",""
"15/03/2026 01:30:00 - 15/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","124.28","",""
"15/03/2026 01:45:00 - 15/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","125.99","",""
"15/03/2026 01:45:00 - 15/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","121.47","",""
"15/03/2026 02:00:00 - 15/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","133.37","",""
"15/03/2026 02:00:00 - 15/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","124.75","",""
"15/03/2026 02:15:00 - 15/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","127.08","",""
"15/03/2026 02:15:00 - 15/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","122.42","",""
"15/03/2026 02:30:00 - 15/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","120.22","",""
"15/03/2026 02:30:00 - 15/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","120.08","",""
"15/03/2026 02:45:00 - 15/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","119.17","",""
"15/03/2026 02:45:00 - 15/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","119.63","",""
"15/03/2026 03:00:00 - 15/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","119.75","",""
"15/03/2026 03:00:00 - 15/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","124.28","",""
"15/03/2026 03:15:00 - 15/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","120.80","",""
