"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"27/03/2026 00:00:00 - 27/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","124.51","",""
"27/03/2026 00:00:00 - 27/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","117.85","",""
"27/03/2026 00:15:00 - 27/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","120.29","",""
"27/03/2026 00:15:00 - 27/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","124.38","",""
"27/03/2026 00:30:00 - 27/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","117.14","",""
"27/03/2026 00:30:00 - 27/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","130.90","",""
"27/03/2026 00:45:00 - 27/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","115.63","",""
"27/03/2026 00:45:00 - 27/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","110.87","",""
"27/03/2026 01:00:00 - 27/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","122.15","",""
"27/03/2026 01:00:00 - 27/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","109.84","",""
"27/03/2026 01:15:00 - 27/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","119.40","",""
"27/03/2026 01:15:00 - 27/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","122.39","",""
"27/03/2026 01:30:00 - 27/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","119.33","",""
"27/03/2026 01:30:00 - 27/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","122.19","",""
"27/03/2026 01:45:00 - 27/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","117.12","",""
"27/03/2026 01:45:00 - 27/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","121.98","",""
"27/03/2026 02:00:00 - 27/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","120.92","",""
"27/03/2026 02:00:00 - 27/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","122.29","",""
"27/03/2026 02:15:00 - 27/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","118.14","",""
"27/03/2026 02:15:00 - 27/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","122.08","",""
"27/03/2026 02:30:00 - 27/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","115.30","",""
"27/03/2026 02:30:00 - 27/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","121.88","",""
"27/03/2026 02:45:00 - 27/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","115.01","",""
"27/03/2026 02:45:00 - 27/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","121.67","",""
"27/03/2026 03:00:00 - 27/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","116.50","",""
"27/03/2026 03:00:00 - 27/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","117.63","",""
"27/03/2026 03:15:00 - 27/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","119.49","",""
"27/03/2026 03:15:00 - 27/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","119.41","",""
"27/03/2026 03:30:00 - 27/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","117.00","",""
"27/03/2026 03:30:00 - 27/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","121.21","",""
"27/03/2026 03:45:00 - 27/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","118.34","",""
"27/03/2026 03:45:00 - 27/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","122.99","",""
"27/03/2026 04:00:00 - 27/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","117.67","",""
"27/03/2026 04:00:00 - 27/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","120.31","",""
"27/03/2026 04:15:00 - 27/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","118.73","",""
"27/03/2026 04:15:00 - 27/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","125.00","",""
"27/03/2026 04:30:00 - 27/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","120.93","",""
"27/03/2026 04:30:00 - 27/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 2","124.30","",""
"27/03/2026 04:45:00 - 27/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 1","123.66","",""
"27/03/2026 04:45:00 - 27/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 2","134.39","",""
"27/03/2026 05:00:00 - 27/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 1","119.80","",""
"27/03/2026 05:00:00 - 27/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 2","127.35","",""
"27/03/2026 05:15:00 - 27/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 1","129.00","",""
"27/03/2026 05:15:00 - 27/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 2","136.88","",""
"27/03/2026 05:30:00 - 27/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 1","143.99","",""
"27/03/2026 05:30:00 - 27/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 2","146.42","",""
"27/03/2026 05:45:00 - 27/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 1","153.06","",""
"27/03/2026 05:45:00 - 27/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 2","145.75","",""
"27/03/2026 06:00:00 - 27/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 1","152.20","",""
"27/03/2026 06:00:00 - 27/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 2","150.85","",""
"27/03/2026 06:15:00 - 27/03/2026 06:30:00","BZN|DE-LU","Sequence Sequence 1","168.99","",""
"27/03/2026 06:15:00 - 27/03/2026 06:30:00","BZN|DE-LU","Sequence Sequence 2","157.53","",""
"27/03/2026 06:30:00 - 27/03/2026 06:45:00","BZN|DE-LU","Sequence Sequence 1","179.10","",""
"27/03/2026 06:30:00 - 27/03/2026 06:45:00","BZN|DE-LU","Sequence Sequence 2","169.63","",""
"27/03/2026 06:45:00 - 27/03/2026 07:00:00","BZN|DE-LU","Sequence Sequence 1","190.23","",""
"27/03/2026 06:45:00 - 27/03/2026 07:00:00","BZN|DE-LU","Sequence Sequence 2","177.92","",""
"27/03/2026 07:00:00 - 27/03/2026 07:15:00","BZN|DE-LU","Sequence Sequence 1","203.74","",""
"27/03/2026 07:00:00 - 27/03/2026 07:15:00","BZN|DE-LU","Sequence Sequence 2","179.99","",""
"27/03/2026 07:15:00 - 27/03/2026 07:30:00","BZN|DE-LU","Sequence Sequence 1","191.36","",""
"27/03/2026 07:15:00 - 27/03/2026 07:30:00","BZN|DE-LU","Sequence Sequence 2","173.64","",""
"27/03/2026 07:30:00 - 27/03/2026 07:45:00","BZN|DE-LU","Sequence Sequence 1","170.92","",""
"27/03/2026 07:30:00 - 27/03/2026 07:45:00","BZN|DE-LU","Sequence Sequence 2","159.99","",""
"27/03/2026 07:45:00 - 27/03/2026 08:00:00","BZN|DE-LU","Sequence Sequence 1","139.56","",""
"27/03/2026 07:45:00 - 27/03/2026 08:00:00","BZN|DE-LU","Sequence Sequence 2","163.11","",""
"27/03/2026 08:00:00 - 27/03/2026 08:15:00","BZN|DE-LU","Sequence Sequence 1","194.19","",""
"27/03/2026 08:00:00 - 27/03/2026 08:15:00","BZN|DE-LU","Sequence Sequence 2","172.22","",""
"27/03/2026 08:15:00 - 27/03/2026 08:30:00","BZN|DE-LU","Sequence Sequence 1","151.40","",""
