"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/03/2026 00:00:00 - 12/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","110.37","",""
"12/03/2026 00:00:00 - 12/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","99.25","",""
"12/03/2026 00:15:00 - 12/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","101.80","",""
"12/03/2026 00:15:00 - 12/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","97.84","",""
"12/03/2026 00:30:00 - 12/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","98.44","",""
"12/03/2026 00:30:00 - 12/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","92.60","",""
"12/03/2026 00:45:00 - 12/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","90.13","",""
"12/03/2026 00:45:00 - 12/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","87.37","",""
"12/03/2026 01:00:00 - 12/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","99.67","",""
"12/03/2026 01:00:00 - 12/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","93.66","",""
"12/03/2026 01:15:00 - 12/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","89.98","",""
"12/03/2026 01:15:00 - 12/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","89.47","",""
"12/03/2026 01:30:00 - 12/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","90.44","",""
"12/03/2026 01:30:00 - 12/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","85.27","",""
"12/03/2026 01:45:00 - 12/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","88.08","",""
"12/03/2026 01:45:00 - 12/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","83.60","",""
"12/03/2026 02:00:00 - 12/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","89.82","",""
"12/03/2026 02:00:00 - 12/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","84.60","",""
"12/03/2026 02:15:00 - 12/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","86.43","",""
"12/03/2026 02:15:00 - 12/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","90.09","",""
"12/03/2026 02:30:00 - 12/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","89.09","",""
"12/03/2026 02:30:00 - 12/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","80.90","",""
"12/03/2026 02:45:00 - 12/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","89.91","",""
"12/03/2026 02:45:00 - 12/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","79.60","",""
"12/03/2026 03:00:00 - 12/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","91.21","",""
"12/03/2026 03:00:00 - 12/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","82.56","",""
"12/03/2026 03:15:00 - 12/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","89.89","",""
"12/03/2026 03:15:00 - 12/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","83.11","",""
"12/03/2026 03:30:00 - 12/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","87.40","",""
"12/03/2026 03:30:00 - 12/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","82.27","",""
