"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"14/03/2026 00:00:00 - 14/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","123.83","",""
"14/03/2026 00:00:00 - 14/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","115.61","",""
"14/03/2026 00:15:00 - 14/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","120.22","",""
"14/03/2026 00:15:00 - 14/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","111.69","",""
"14/03/2026 00:30:00 - 14/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","105.47","",""
"14/03/2026 00:30:00 - 14/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","110.41","",""
"14/03/2026 00:45:00 - 14/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","102.26","",""
"14/03/2026 00:45:00 - 14/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","107.86","",""
"14/03/2026 01:00:00 - 14/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","112.41","",""
"14/03/2026 01:00:00 - 14/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","113.70","",""
"14/03/2026 01:15:00 - 14/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","109.69","",""
"14/03/2026 01:15:00 - 14/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","108.60","",""
"14/03/2026 01:30:00 - 14/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","108.35","",""
"14/03/2026 01:30:00 - 14/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","107.00","",""
"14/03/2026 01:45:00 - 14/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","105.83","",""
"14/03/2026 01:45:00 - 14/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","107.90","",""
"14/03/2026 02:00:00 - 14/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","106.25","",""
"14/03/2026 02:00:00 - 14/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","109.93","",""
"14/03/2026 02:15:00 - 14/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","104.17","",""
"14/03/2026 02:15:00 - 14/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","108.00","",""
"14/03/2026 02:30:00 - 14/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","103.37","",""
"14/03/2026 02:30:00 - 14/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","107.00","",""
"14/03/2026 02:45:00 - 14/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","102.17","",""
"14/03/2026 02:45:00 - 14/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","105.50","",""
"14/03/2026 03:00:00 - 14/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","99.34","",""
"14/03/2026 03:00:00 - 14/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","109.88","",""
"14/03/2026 03:15:00 - 14/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","101.81","",""
"14/03/2026 03:15:00 - 14/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","106.96","",""
"14/03/2026 03:30:00 - 14/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","102.81","",""
"14/03/2026 03:30:00 - 14/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","106.70","",""
"14/03/2026 03:45:00 - 14/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","103.49","",""
"14/03/2026 03:45:00 - 14/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","103.53","",""
"14/03/2026 04:00:00 - 14/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","103.21","",""
"14/03/2026 04:00:00 - 14/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","108.29","",""
"14/03/2026 04:15:00 - 14/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","103.20","",""
"14/03/2026 04:15:00 - 14/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","106.40","",""
"14/03/2026 04:30:00 - 14/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","106.31","",""
"14/03/2026 04:30:00 - 14/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 2","106.10","",""
"14/03/2026 04:45:00 - 14/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 1","107.74","",""
"14/03/2026 04:45:00 - 14/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 2","104.80","",""
"14/03/2026 05:00:00 - 14/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 1","104.51","",""
"14/03/2026 05:00:00 - 14/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 2","114.91","",""
"14/03/2026 05:15:00 - 14/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 1","107.38","",""
"14/03/2026 05:15:00 - 14/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 2","108.08","",""
