"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"23/03/2026 00:00:00 - 23/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","136.18","",""
"23/03/2026 00:00:00 - 23/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","144.20","",""
"23/03/2026 00:15:00 - 23/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","133.06","",""
"23/03/2026 00:15:00 - 23/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","139.96","",""
"23/03/2026 00:30:00 - 23/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","128.55","",""
"23/03/2026 00:30:00 - 23/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","138.02","",""
"23/03/2026 00:45:00 - 23/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","126.76","",""
"23/03/2026 00:45:00 - 23/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","136.09","",""
"23/03/2026 01:00:00 - 23/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","128.59","",""
"23/03/2026 01:00:00 - 23/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","138.30","",""
"23/03/2026 01:15:00 - 23/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","127.75","",""
"23/03/2026 01:15:00 - 23/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","134.30","",""
"23/03/2026 01:30:00 - 23/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","124.93","",""
"23/03/2026 01:30:00 - 23/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","133.50","",""
"23/03/2026 01:45:00 - 23/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","122.33","",""
"23/03/2026 01:45:00 - 23/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","132.00","",""
"23/03/2026 02:00:00 - 23/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","127.33","",""
"23/03/2026 02:00:00 - 23/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","134.77","",""
"23/03/2026 02:15:00 - 23/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","124.40","",""
"23/03/2026 02:15:00 - 23/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","134.47","",""
"23/03/2026 02:30:00 - 23/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","124.21","",""
"23/03/2026 02:30:00 - 23/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","134.19","",""
"23/03/2026 02:45:00 - 23/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","124.70","",""
"23/03/2026 02:45:00 - 23/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","133.89","",""
"23/03/2026 03:00:00 - 23/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","129.06","",""
"23/03/2026 03:00:00 - 23/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","132.10","",""
"23/03/2026 03:15:00 - 23/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","126.31","",""
"23/03/2026 03:15:00 - 23/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","133.10","",""
"23/03/2026 03:30:00 - 23/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","127.51","",""
"23/03/2026 03:30:00 - 23/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","135.85","",""
"23/03/2026 03:45:00 - 23/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","131.47","",""
"23/03/2026 03:45:00 - 23/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","136.61","",""
"23/03/2026 04:00:00 - 23/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","130.88","",""
"23/03/2026 04:00:00 - 23/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","132.70","",""
"23/03/2026 04:15:00 - 23/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","136.82","",""
"23/03/2026 04:15:00 - 23/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","134.00","",""
"23/03/2026 04:30:00 - 23/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","141.47","",""
"23/03/2026 04:30:00 - 23/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 2","138.32","",""
"23/03/2026 04:45:00 - 23/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 1","143.90","",""
"23/03/2026 04:45:00 - 23/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 2","139.75","",""
