"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"22/03/2026 00:00:00 - 22/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","104.54","",""
"22/03/2026 00:00:00 - 22/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","121.53","",""
"22/03/2026 00:15:00 - 22/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","101.80","",""
"22/03/2026 00:15:00 - 22/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","116.60","",""
"22/03/2026 00:30:00 - 22/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","99.81","",""
"22/03/2026 00:30:00 - 22/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","109.09","",""
"22/03/2026 00:45:00 - 22/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","95.50","",""
"22/03/2026 00:45:00 - 22/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","109.70","",""
"22/03/2026 01:00:00 - 22/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","98.56","",""
"22/03/2026 01:00:00 - 22/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","110.48","",""
"22/03/2026 01:15:00 - 22/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","96.75","",""
"22/03/2026 01:15:00 - 22/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","105.60","",""
"22/03/2026 01:30:00 - 22/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","94.93","",""
"22/03/2026 01:30:00 - 22/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","109.27","",""
"22/03/2026 01:45:00 - 22/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","92.78","",""
"22/03/2026 01:45:00 - 22/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","109.62","",""
"22/03/2026 02:00:00 - 22/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","95.59","",""
"22/03/2026 02:00:00 - 22/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","106.19","",""
"22/03/2026 02:15:00 - 22/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","94.20","",""
"22/03/2026 02:15:00 - 22/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","103.85","",""
"22/03/2026 02:30:00 - 22/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","93.98","",""
"22/03/2026 02:30:00 - 22/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","108.05","",""
"22/03/2026 02:45:00 - 22/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","93.04","",""
"22/03/2026 02:45:00 - 22/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","106.73","",""
"22/03/2026 03:00:00 - 22/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","95.67","",""
"22/03/2026 03:00:00 - 22/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","107.78","",""
"22/03/2026 03:15:00 - 22/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","94.69","",""
"22/03/2026 03:15:00 - 22/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","105.15","",""
"22/03/2026 03:30:00 - 22/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","95.19","",""
"22/03/2026 03:30:00 - 22/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","105.59","",""
"22/03/2026 03:45:00 - 22/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","95.49","",""
"22/03/2026 03:45:00 - 22/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 2","103.43","",""
"22/03/2026 04:00:00 - 22/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 1","97.51","",""
"22/03/2026 04:00:00 - 22/03/2026 04:15:00","BZN|DE-LU","Sequence Sequence 2","104.67","",""
"22/03/2026 04:15:00 - 22/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 1","97.75","",""
"22/03/2026 04:15:00 - 22/03/2026 04:30:00","BZN|DE-LU","Sequence Sequence 2","105.42","",""
"22/03/2026 04:30:00 - 22/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 1","99.05","",""
"22/03/2026 04:30:00 - 22/03/2026 04:45:00","BZN|DE-LU","Sequence Sequence 2","113.00","",""
"22/03/2026 04:45:00 - 22/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 1","100.08","",""
"22/03/2026 04:45:00 - 22/03/2026 05:00:00","BZN|DE-LU","Sequence Sequence 2","104.06","",""
"22/03/2026 05:00:00 - 22/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 1","100.21","",""
"22/03/2026 05:00:00 - 22/03/2026 05:15:00","BZN|DE-LU","Sequence Sequence 2","109.90","",""
"22/03/2026 05:15:00 - 22/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 1","101.87","",""
"22/03/2026 05:15:00 - 22/03/2026 05:30:00","BZN|DE-LU","Sequence Sequence 2","113.06","",""
"22/03/2026 05:30:00 - 22/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 1","102.88","",""
"22/03/2026 05:30:00 - 22/03/2026 05:45:00","BZN|DE-LU","Sequence Sequence 2","111.53","",""
"22/03/2026 05:45:00 - 22/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 1","101.69","",""
"22/03/2026 05:45:00 - 22/03/2026 06:00:00","BZN|DE-LU","Sequence Sequence 2","116.33","",""
"22/03/2026 06:00:00 - 22/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 1","102.80","",""
"22/03/2026 06:00:00 - 22/03/2026 06:15:00","BZN|DE-LU","Sequence Sequence 2","105.40","",""
"22/03/2026 06:15:00 - 22/03/2026 06:30:00","BZN|DE-LU","Sequence Sequence 1","103.81","",""
"22/03/2026 06:15:00 - 22/03/2026 06:30:00","BZN|DE-LU","Sequence Sequence 2","114.23","",""
"22/03/2026 06:30:00 - 22/03/2026 06:45:00","BZN|DE-LU","Sequence Sequence 1","102.18","",""
"22/03/2026 06:30:00 - 22/03/2026 06:45:00","BZN|DE-LU","Sequence Sequence 2","105.08","",""
"22/03/2026 06:45:00 - 22/03/2026 07:00:00","BZN|DE-LU","Sequence Sequence 1","91.63","",""
"22/03/2026 06:45:00 - 22/03/2026 07:00:00","BZN|DE-LU","Sequence Sequence 2","105.50","",""
"22/03/2026 07:00:00 - 22/03/2026 07:15:00","BZN|DE-LU","Sequence Sequence 1","117.51","",""
"22/03/2026 07:00:00 - 22/03/2026 07:15:00","BZN|DE-LU","Sequence Sequence 2","104.41","",""
"22/03/2026 07:15:00 - 22/03/2026 07:30:00","BZN|DE-LU","Sequence Sequence 1","92.91","",""
"22/03/2026 07:15:00 - 22/03/2026 07:30:00","BZN|DE-LU","Sequence Sequence 2","96.39","",""
"22/03/2026 07:30:00 - 22/03/2026 07:45:00","BZN|DE-LU","Sequence Sequence 1","78.63","",""
"22/03/2026 07:30:00 - 22/03/2026 07:45:00","BZN|DE-LU","Sequence Sequence 2","86.68","",""
"22/03/2026 07:45:00 - 22/03/2026 08:00:00","BZN|DE-LU","Sequence Sequence 1","49.79","",""
"22/03/2026 07:45:00 - 22/03/2026 08:00:00","BZN|DE-LU","Sequence Sequence 2","76.53","",""
"22/03/2026 08:00:00 - 22/03/2026 08:15:00","BZN|DE-LU","Sequence Sequence 1","80.75","",""
"22/03/2026 08:00:00 - 22/03/2026 08:15:00","BZN|DE-LU","Sequence Sequence 2","47.20","",""
"22/03/2026 08:15:00 - 22/03/2026 08:30:00","BZN|DE-LU","Sequence Sequence 1","46.20","",""
"22/03/2026 08:15:00 - 22/03/2026 08:30:00","BZN|DE-LU","Sequence Sequence 2","47.81","",""
"22/03/2026 08:30:00 - 22/03/2026 08:45:00","BZN|DE-LU","Sequence Sequence 1","26.37","",""
"22/03/2026 08:30:00 - 22/03/2026 08:45:00","BZN|DE-LU","Sequence Sequence 2","40.59","",""
"22/03/2026 08:45:00 - 22/03/2026 09:00:00","BZN|DE-LU","Sequence Sequence 1","12.00","",""
"22/03/2026 08:45:00 - 22/03/2026 09:00:00","BZN|DE-LU","Sequence Sequence 2","36.80","",""
"22/03/2026 09:00:00 - 22/03/2026 09:15:00","BZN|DE-LU","Sequence Sequence 1","19.90","",""
