timestamp,price,ma_short,ma_long,roll_mean,roll_std,zscore,price_scale,trend_signal,mr_signal,price_change,scaled_move,market_pnl,trend_position_change,trend_cost,trend_pnl,mr_position_change,mr_cost,mr_pnl,cum_market_pnl,cum_trend_pnl,cum_mr_pnl
2026-03-01 00:00:00,47.65,,,,,,,0,0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 00:15:00,48.89,,,,,,,0,0,1.240000000000002,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 00:30:00,46.03,,,,,,,0,0,-2.8599999999999994,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 00:45:00,48.02,,,,,,,0,0,1.990000000000002,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 01:00:00,49.0,,,,,,,0,0,0.9799999999999969,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 01:15:00,51.99,,,,,,,0,0,2.990000000000002,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 01:30:00,52.77,,,,,,,0,0,0.7800000000000011,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 01:45:00,52.44,49.59875,,,,,,0,0,-0.3300000000000054,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 02:00:00,51.69,50.103750000000005,,,,,,0,0,-0.75,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 02:15:00,52.49,50.55375,,,,,,0,0,0.8000000000000043,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 02:30:00,55.51,51.73875,,,,,,0,0,3.019999999999996,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 02:45:00,57.3,52.89874999999999,,,,,,0,0,1.7899999999999991,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 03:00:00,53.34,53.44125,,,,,,0,0,-3.9599999999999937,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 03:15:00,54.58,53.765,,,,,,0,0,1.2399999999999949,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 03:30:00,58.1,54.43125,,,,,,0,0,3.520000000000003,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 03:45:00,62.27,55.66,,,,,,0,0,4.170000000000002,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 04:00:00,53.08,55.833749999999995,,,,,,0,0,-9.190000000000005,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 04:15:00,57.57,56.46875,,,,,,0,0,4.490000000000002,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 04:30:00,64.38,57.5775,,,,,,0,0,6.809999999999995,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2026-03-01 04:45:00,69.31,59.07875,,,,,,0,0,4.930000000000007,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
